ID;Stambog;Tato;navn;breeder;far;mor;DKKtitler;Titler;LastVisit;Count;born;HD;AD;HZ;SP;Indexdato;HDindex;sex;farve;dead;AK;Avlsstatus;MB;billede;Ejer;Adresse;Postnr;By;telefon;email;url;log;brugernavn;adgangskode;Updated;BrugerCookie;BrugerIP;AddedBy;DateAdded
1;00022/82;;Vico v. Heideloh;;DBZB153988;DBZB154991;;;;0;11-06-1980;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
2;DK00031/2008;;Imine´s Aviola;;08770/2005;20011/2003;;AK, IPO-1, SPH-1, FP, IPO-VO, Stufe-1;;0;29-11-2007;C;;;0;29-08-2009;101;T;Rg;0;AK;1;0;;;;;;;;;;;;;;;;26-04-2009
3;DK00033/2008;c00033;Imine´s Alex;;08770/2005;20011/2003;;;;0;29-11-2007;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;08-07-2008
4;DK00034/2008;C00034;Imine´s Amos;;08770/2005;20011/2003;;;;0;29-11-2007;A;;;;29-08-2009;121;H;Tg/hv;1;;0;0;;;;;;;;;;;;;;;;19-05-2008
5;DK00035/2008;c00035;Imine´s Anders;;08770/2005;20011/2003;DEVDHCH, DKCH, KBHVV'16;AK, FP,  KBHV'10, DKK-Racevinder-2011, KLBCH, Årets guldhund 2011 & 2013, Årets Bronzehund 2012, Veteranårsvinder 2016;;0;29-11-2007;A;;;0;01-03-2016;114;H;Rg/hv;;AK;1;0;;;;;;;;;;;;17-09-2016;;;;01-06-2008
6;00041/85;;Anzie´s Akim;;36244/83;12647/82;;;;0;16-11-1984;B1;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
7;00046/82;;Bonneie;;18494/77;26441/74;;;;0;14-12-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
8;00047/82;;Clyde;;18494/77;26441/74;;;;0;14-12-1981;;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
9;00050/2002;U00051;Tri-Ki Rikkie;;15858/98;02643/97;;AK, LP-1, LP-2, RALLY-B;;0;07-12-2001;A;0;0;0;13-11-2006;131,5599976;T;Rg/hv;1;AK;;1;;;;;;;;;;;;16-10-2013;;;;27-03-2002
10;00053/87;;Næsby Odette;;09502/82;14093/84;;;;0;12-12-1986;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
11;00054/83;;Leika;;03944/79;19911/78;;;;0;06-09-1982;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
12;00054/87;;Næsby Okko;;09502/82;14093/84;;;;0;12-12-1986;B1;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
13;00055/87;;Næsby Orwin;;09502/82;14093/84;;;;0;12-12-1986;A2;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
14;00057/2003;;Miss Moniq´s Chillie;;07625/2001;19189/99;;;;0;06-12-2002;;;;;;0;T;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;22-01-2003
15;00057/87;;Næsby Odin;;09502/82;14093/84;;;;0;12-12-1986;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
16;00060/2003;V00059;Miss Moniq´s Corenlius;;07625/2001;19189/99;;;;0;06-12-2002;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;01-12-2003
17;00070/77;;Alexander;;03519/76;19518/75;;;;0;;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
18;00076/77;;Askepot;;03519/76;19518/75;;;;0;;1;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
19;DK00089/2008;2,08E+14;Rieckholms Jack Sparrow;;02563/2006;20360/2003;;;;0;13-11-2007;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;10-02-2008
20;DK00090/2008;;Rieckholms James Bond;;02563/2006;20360/2003;;;;0;13-11-2007;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;10-02-2008
21;DK00091/2008;;Rieckholms Jodie Fountain;;02563/2006;20360/2003;;;;0;13-11-2007;;;;;;0;T;Tg;0;;0;0;;;;;;;;;;;;;;;;10-02-2008
22;00095/78;;Boxerlunds Nasser;;01291/76;18099/73;;;;0;;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
23;00096/82;;Clay;;17526/78;14431/77;;;;0;05-11-1981;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
24;00097/82;;Beautylady;;17526/78;14431/77;;;;0;05-11-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
25;00101/99;;Hyberggaard´s Bobby;;00906/95;27056/94;;;;0;11-12-1998;;;;;;0;H;;0;;0;0;;;;;;;;;;;;;;;;
26;00105/79;;Boxerhusets Janus;;18494/77;06038/76;;;;0;;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
27;00108/79;;Boxerhusets Jewel Linka;;18494/77;06038/76;;;;0;;0;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
28;00121/85;;Dragon;;36244/83;01336/78;;;;0;10-11-1984;D1;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
29;00122/85;;Sunset;;36244/83;01336/78;;;;0;10-11-1984;C1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
30;00123/85;;Banja;;36244/83;01336/78;;;;0;10-11-1984;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
31;00134/97;;Adele;;00906/95;10255/94;;;;0;04-12-1996;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
32;00135/94;;Clamon´s Esco;;02772/87;14811/89;;;;0;05-12-1993;D2;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
33;00136/86;;von Castenskjold Senta;;09502/82;09244/83;;;;0;23-08-1985;D2;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
34;00137/86;;von Castenskjold Maja;;09502/82;09244/83;;;;0;23-08-1985;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
35;00138/95;;Bostobox Ali Pascha;;LOSH580967;06573/89;;;;0;06-12-1994;D2;;;;;0;H;Tg;0;AK;0;0;;;;;;;;;;;;;;;;
36;00139/95;;Bostobox Anubis;;LOSH580967;06573/89;;;;0;06-12-1994;A1;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
37;00140/97;;Aqua;;00906/95;10255/94;;;;0;04-12-1996;;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
38;00141/97;;Apollo;;00906/95;10255/94;;;;0;04-12-1996;B1;;;;;0;H;Rg/hv;0;AK;1;0;;;;;;;;;;;;;;;;
